screen_accession	screen_row_id	MORF_id	reason	detail	source_transcript_ids	log2FoldChange
IGVFFI6734IWRB	TAF1_3	TAF1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_004606,ENST00000276072
IGVFFI6734IWRB	TCF3_2	TCF3_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017027180,ENST00000395423
IGVFFI6734IWRB	TOPORS_1	TOPORS_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001195622,ENST00000379858
IGVFFI6734IWRB	TOPORS_2	TOPORS_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_005802,ENST00000360538
IGVFFI6734IWRB	TP53BP1_3	TP53BP1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_005657,ENST00000263801
IGVFFI6734IWRB	TP53BP1_4	TP53BP1_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001141980,ENST00000382044
IGVFFI6734IWRB	TRPS1_2	TRPS1_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_011517268,XM_005251049,ENST00000640765,ENST00000220888
IGVFFI6734IWRB	TRPS1_3	TRPS1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001282902,ENST00000520276
IGVFFI6734IWRB	USF3_1	USF3_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001009899,XM_017005871,ENST00000316407,ENST00000478658
IGVFFI6734IWRB	WNK1_3	WNK1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_018979,ENST00000315939
IGVFFI6734IWRB	ZBTB24_1	ZBTB24_1	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_001164313.1	0.159707975166421
IGVFFI6734IWRB	ZBTB38_1	ZBTB38_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001080412,XM_005247257,XM_011512611,XM_017006061,XM_017006055,XM_017006054,XM_017006053,XM_017006060,XM_017006056,XM_005247258,XM_017006052,XM_005247261,XM_017006059,XM_017006058,XM_017006057,ENST00000514251,ENST00000637056,ENST00000441582,ENST00000321464
IGVFFI6734IWRB	ZFHX2_1	ZFHX2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_033400,XM_011537247,XM_011537246,XM_017021714,XM_011537245,ENST00000419474
IGVFFI6734IWRB	ZFHX3_1	ZFHX3_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001164766,ENST00000397992
IGVFFI6734IWRB	ZNF138_7	ZNF138_7	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_001271649.1	0.0877188050851169
IGVFFI6734IWRB	ZNF14_1	ZNF14_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_021030,ENST00000344099
IGVFFI6734IWRB	ZNF169_2	ZNF169_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017014364.1	-0.227792988555244
IGVFFI6734IWRB	ZNF208_1	ZNF208_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_007153,ENST00000397126
IGVFFI6734IWRB	ZNF273_1	ZNF273_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017011688,NM_021148,ENST00000476120
